#{"t_start": 1748357091.1208167, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-75.997169,72,0.036316
-0.56124,128,0.543721
-735.472459,64,0.870932
-526.024817,69,1.219354
-462.012994,53,1.536957
-450.648825,52,1.806524
-633.935872,78,2.212673
-584.968939,71,2.591718
-623.142097,61,2.896255
-1221.888583,110,3.406063
-1116.250303,92,3.871264
-1067.980039,91,4.339511
-534.926661,72,4.69006
-677.353729,79,5.054089
-732.494463,82,5.48483
-796.274702,76,5.873566
-742.866352,85,6.264974
-745.278672,72,6.608516
-92.872185,92,7.054389
-341.807015,104,7.557758
-177.762742,154,8.32812
-550.581441,97,8.823565
-239.474197,90,9.274009
-170.271637,167,11.511213
-163.173158,197,12.569387
-155.799999,268,13.903501
-298.219847,319,15.499566
-230.061167,129,16.21484
-236.762001,105,16.776026
-290.527554,216,17.881279
-236.236311,93,18.280934
-194.699434,191,19.037998
-225.771619,122,19.563321
-250.980463,96,19.983711
-161.386777,152,20.637527
-197.851791,138,21.30705
-247.112079,204,22.322781
-239.254633,133,22.980606
-216.253357,246,24.326347
-348.960981,156,25.110843
-213.096534,130,25.858282
-360.414497,161,26.70458
-230.282108,103,27.24174
-320.222005,122,27.90928
-353.626481,92,28.399606
-300.846238,102,28.923209
-457.847005,176,29.757991
-398.215495,134,30.412136
-164.508192,131,31.149701
-11.442299,180,32.066953
-209.04883,92,32.465138
-576.600708,98,32.919609
-90.449573,210,34.02125
-232.629628,176,34.979359
-409.93362,113,35.543639
-303.646533,102,36.075032
-326.563977,92,36.570037
-233.061262,66,36.917402
-181.329838,118,37.519349
-310.89955,144,38.31155
-54.862448,356,40.038579
-379.80901,120,40.622133
-324.576917,142,41.381839
-108.371462,104,41.989782
-150.709058,120,42.57901
-152.753106,109,44.579591
-126.207612,54,44.84408
-282.590638,181,45.712921
17.81401,207,46.854065
-267.896972,266,48.254086
-115.960943,107,48.831136
-262.329642,177,49.763806
-106.127766,117,50.409556
-156.343016,107,50.922502
-309.027434,166,51.789915
-115.360838,60,52.081974
-265.029814,338,53.784475
-128.608422,77,54.176644
-217.918125,259,55.426958
-115.890223,163,56.214838
-74.054869,185,57.149449
-121.987503,66,57.49348
-76.061422,198,58.5331
-197.534923,550,61.296016
-151.999709,255,62.462043
-115.149355,77,62.817233
-106.04539,271,64.105274
-113.317643,84,64.533806
-179.289222,703,68.209622
-91.044819,363,70.152162
-36.93585,226,71.253993
-47.448752,257,72.583146
-25.764974,214,73.643216
-105.733232,70,73.963596
-79.460848,294,75.419181
-23.855514,242,76.604951
-51.425254,248,78.866661
114.514404,524,81.586849
-26.24429,151,82.347154
-16.258716,166,83.191373
-30.94811,186,84.122074
-15.015834,252,85.3825
-10.034311,136,86.088006
-6.331521,240,87.297727
-54.73658,143,87.96478
8.731739,94,88.399316
4.981447,188,89.332148
-13.093428,93,89.785052
4.844203,127,90.420645
-32.943754,201,91.52228
-50.204723,158,92.320843
-445.025748,374,94.342782
-349.139557,374,96.36253
-228.50322,460,98.675666
-7.897493,317,100.271516
-143.667556,308,101.768231
-207.036302,175,102.69655
-118.828645,492,105.351828
-159.663735,463,107.828759
-47.73522,272,109.179256
-26.339827,212,111.527675
-101.411924,1000,116.734908
-188.923991,112,117.290124
-176.404856,1000,122.317553
-52.814964,438,124.530682
-182.309205,138,125.167456
-21.0695,93,125.657298
-58.130871,383,127.691902
-98.162197,115,128.26776
-114.890893,271,129.610604
-82.909163,137,130.314038
-31.02089,134,130.968371
-51.861283,582,133.690707
-16.182532,140,134.327011
2.698873,158,135.082699
-149.969002,383,137.02109
4.655733,158,137.805101
