#{"t_start": 1748299652.3955824, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-282.472866,110,2.365896
-344.76691,67,2.67098
-287.309385,62,2.880869
-824.395198,80,3.151377
-946.663083,89,3.458494
-593.867719,64,3.68125
-782.084767,80,3.94756
-549.712587,59,4.167182
-634.440581,156,4.718956
-381.381135,107,5.083631
-374.70923,154,5.657293
-445.739187,150,6.190612
-497.361498,138,6.669343
-386.910226,143,7.154414
-400.478648,171,7.779151
-429.247261,137,8.275829
-273.105859,160,8.907838
-443.424085,252,9.995858
-58.494881,1000,13.991144
-110.625873,1000,17.929685
-365.263502,229,18.908372
-306.096035,746,21.749565
-152.238093,419,23.363928
-135.604656,249,24.31358
-113.448493,428,25.87078
-255.866548,672,28.402358
-336.865527,518,30.39609
-332.918842,386,31.943834
-245.871497,357,33.304577
-312.013497,575,35.689098
-364.467057,678,38.454733
-24.959396,633,40.987489
-145.389209,1000,44.751375
-158.910107,1000,48.960195
-75.730719,1000,53.043262
-200.229952,872,56.222041
-5.31323,224,57.144763
-92.624877,1000,61.208897
-129.320466,1000,65.461628
-80.45919,1000,69.482698
-13.774515,227,70.453443
-44.390326,1000,74.677733
-91.7137,342,76.078413
-209.084942,530,78.207561
-146.149225,212,79.059655
-270.224221,309,80.328265
-39.557011,333,81.742577
-80.243888,1000,85.850727
-34.531647,595,88.170006
-41.376938,1000,91.952595
-42.221938,441,93.726773
-73.277712,421,95.342156
-62.287916,562,97.747297
142.350088,627,100.278487
-205.03041,274,101.323763
-110.063686,703,103.885172
-64.655399,1000,107.786429
-72.404921,287,108.978352
-9.521382,1000,113.189917
-52.689467,1000,116.937304
-50.409718,1000,120.774806
-390.129186,891,124.375961
-215.778079,597,126.633729
27.944327,1000,130.406363
18.118181,1000,134.477917
-65.667725,1000,138.308384
-19.219021,1000,142.192289
-102.232189,1000,146.021561
-98.642408,1000,149.883
-75.473044,1000,154.002082
-89.019167,1000,157.780737
-82.307322,1000,161.689733
-102.047499,1000,165.653117
-79.776765,1000,169.343605
148.349072,665,171.976219
-20.098593,1000,176.153043
-68.47443,1000,179.950045
-411.436985,858,183.297432
26.164894,1000,187.275469
125.876401,861,190.525461
98.033884,717,193.258198
-217.172397,203,194.122312
-48.587012,251,195.234004
-290.376567,341,196.68527
-16.555844,341,198.134365
132.747359,515,200.247458
-42.099551,385,201.656744
225.532625,521,203.626976
201.253139,380,205.010689
36.290816,373,206.351913
196.612048,787,209.4217
205.641156,552,211.677326
8.724948,441,213.360893
106.361593,786,216.357158
205.745446,654,218.970959
239.100317,635,221.475563
-85.655494,1000,225.577079
-10.559642,136,226.06941
235.458996,268,227.088212
43.527404,281,228.125968
127.65062,917,231.669298
257.580823,352,233.076565
-135.619567,351,234.517667
-290.979591,454,236.377917
-30.144988,298,237.563528
188.428207,596,240.148435
-274.645875,814,243.287663
-28.802823,409,244.828135
-110.781106,283,245.976296
-81.705788,212,246.883816
-85.818811,330,248.281561
-9.592196,190,249.115918
2.651049,525,251.373133
-164.823935,252,252.28675
211.771298,337,253.553718
208.53843,775,256.610682
-100.534591,239,257.570989
-113.802752,220,258.465662
102.291612,618,260.868975
0.279854,214,261.740851
215.187183,251,262.744571
171.151258,300,263.865786
239.071124,193,264.635143
142.627854,598,266.996609
-31.022559,138,267.53886
213.815933,255,268.578006
202.607038,209,269.442563
-44.719684,164,270.10956
-46.940644,164,270.706011
-20.880432,1000,274.550064
184.444585,414,276.250793
-41.068898,99,276.683365
33.463169,89,277.074222
160.590832,651,279.793594
204.576068,505,281.924641
-23.701703,90,282.28883
157.628206,875,285.825857
162.052534,760,288.67822
-92.291871,169,289.441278
-29.8155,169,290.116833
-196.445716,428,291.890101
216.448753,257,292.854587
-206.11275,264,293.829664
-52.670598,107,294.246148
231.988921,314,295.460374
137.974546,766,298.614067
274.972725,370,300.134781
-148.25263,430,302.039284
230.796019,246,303.054475
-2.614387,201,303.868389
129.669656,707,306.601608
0.269325,1000,310.856589
-434.487452,367,312.187698
-111.238662,695,314.926289
-305.222491,828,318.379479
161.46111,979,322.422917
252.448181,488,324.27313
-28.577896,1000,328.282626
1.469042,1000,332.297608
272.352039,290,333.446495
-49.616453,1000,337.177044
108.092061,986,341.228996
-29.250303,1000,345.258197
-29.447605,1000,349.245782
240.075108,333,350.642259
-45.795069,1000,354.734577
237.356008,505,356.71158
245.46156,638,359.179283
-4.554495,1000,363.173755
194.404368,598,365.722173
-61.405578,1000,369.60957
151.693175,838,372.932867
206.953833,682,375.786952
163.414959,639,378.3739
163.478847,676,381.037176
189.478981,539,383.125
188.526573,843,386.696666
218.669795,574,389.240455
9.155514,116,389.71128
-27.874666,144,390.277874
162.400882,825,393.37581
196.14109,793,396.618087
